Number	Name	Gender	Type	Math	Chinese	English	Geog	History	Biology	Physics	Chemics
1000	Roy	1	1	89	95	94	89	47	0	0	0
1004	Machel	0	1	89	57	87	94	87	0	0	0
1005	Mary	1	0	98	89	95	0	0	68	94	89
1006	Toma	1	1	89	89	86	56	87	0	0	0
1008	Jango	0	1	98	78	98	78	67	0	0	0
1009	Trump	0	1	88	78	67	87	97	0	0	0
1013	Amber	1	1	89	78	68	97	67	0	0	0
1015	Smith	0	1	89	78	89	87	98	0	0	0
1016	John	0	1	89	78	97	67	98	0	0	0
1018	Lora	1	0	95	97	58	0	0	92	86	77
1021	Linda	1	0	78	98	67	0	0	56	95	84
1022	Liuxiu	0	0	90	96	56	0	0	76	86	44
1023	Flora	1	1	98	78	96	94	46	0	0	0
